id,timestamp,value,sensor_id
20552,2024-08-26 22:44:32.405692,41.0,4
20555,2024-08-26 22:45:36.372216,41.0,4
20558,2024-08-26 22:46:40.129829,41.0,4
20561,2024-08-26 22:47:43.807499,41.0,4
20564,2024-08-26 22:48:47.569973,41.0,4
20567,2024-08-26 22:49:51.433371,41.0,4
20570,2024-08-26 22:50:55.215162,41.0,4
20573,2024-08-26 22:51:59.059455,41.0,4
20576,2024-08-26 22:53:02.946216,41.0,4
20579,2024-08-26 22:54:06.926108,41.0,4
20582,2024-08-26 22:55:10.880598,41.0,4
20585,2024-08-26 22:56:14.609140,41.0,4
20588,2024-08-26 22:57:18.367500,41.0,4
20591,2024-08-26 22:58:22.099082,41.0,4
20594,2024-08-26 22:59:25.903148,41.0,4
20597,2024-08-26 23:00:29.627569,41.0,4
20600,2024-08-26 23:01:33.412048,41.0,4
20603,2024-08-26 23:02:37.268256,41.0,4
20606,2024-08-26 23:03:41.021862,41.0,4
20609,2024-08-26 23:04:44.834345,41.0,4
20612,2024-08-26 23:05:48.610022,41.0,4
20615,2024-08-26 23:06:52.338255,41.0,4
20618,2024-08-26 23:07:56.095979,41.0,4
20621,2024-08-26 23:08:59.801056,41.0,4
20624,2024-08-26 23:10:03.489830,41.0,4
20627,2024-08-26 23:11:07.340226,41.0,4
20630,2024-08-26 23:12:11.200059,41.0,4
20633,2024-08-26 23:13:15.045666,41.0,4
20636,2024-08-26 23:14:18.809421,41.0,4
20639,2024-08-26 23:15:22.589844,41.0,4
20642,2024-08-26 23:16:26.322047,41.0,4
20645,2024-08-26 23:17:30.081115,41.0,4
20648,2024-08-26 23:18:33.810422,41.0,4
20651,2024-08-26 23:19:37.709392,41.0,4
20654,2024-08-26 23:20:41.713524,41.0,4
20657,2024-08-26 23:21:45.458498,41.0,4
20660,2024-08-26 23:22:49.202375,41.0,4
20663,2024-08-26 23:23:52.929497,41.0,4
20666,2024-08-26 23:24:56.664330,41.0,4
20669,2024-08-26 23:26:00.443599,42.0,4
20672,2024-08-26 23:27:04.215567,41.0,4
20675,2024-08-26 23:28:07.960867,42.0,4
20678,2024-08-26 23:29:11.834261,41.0,4
20681,2024-08-26 23:30:15.585452,41.0,4
20684,2024-08-26 23:31:19.310260,41.0,4
20687,2024-08-26 23:32:23.081978,41.0,4
20690,2024-08-26 23:33:26.850583,41.0,4
20693,2024-08-26 23:34:30.565378,42.0,4
20696,2024-08-26 23:35:34.393554,41.0,4
20699,2024-08-26 23:36:38.166754,41.0,4
20702,2024-08-26 23:37:42.021672,42.0,4
20705,2024-08-26 23:38:45.745736,42.0,4
20708,2024-08-26 23:39:49.549495,41.0,4
20711,2024-08-26 23:40:53.341305,41.0,4
20714,2024-08-26 23:41:57.070779,41.0,4
20717,2024-08-26 23:43:00.800048,41.0,4
20720,2024-08-26 23:44:04.543230,41.0,4
20723,2024-08-26 23:45:08.448661,41.0,4
20726,2024-08-26 23:46:12.169507,42.0,4
20729,2024-08-26 23:47:15.937169,41.0,4
20732,2024-08-26 23:48:19.669980,41.0,4
20735,2024-08-26 23:49:23.407202,42.0,4
20738,2024-08-26 23:50:27.122916,42.0,4
20741,2024-08-26 23:51:30.825845,41.0,4
20744,2024-08-26 23:52:34.618864,42.0,4
20747,2024-08-26 23:53:38.345469,41.0,4
20750,2024-08-26 23:54:42.102690,41.0,4
20755,2024-08-26 23:56:49.362146,41.0,4
20758,2024-08-26 23:57:53.202916,41.0,4
20761,2024-08-26 23:58:56.937154,42.0,4
20764,2024-08-27 00:00:00.704386,42.0,4
20767,2024-08-27 00:01:04.460098,42.0,4
